Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT1G21240,2297.4247016781123,8.58904944865856,0.22186466311196387,38.63082568839364,0,0
AT4G25070,877.5075081195594,7.448142355486181,0.20014850131442838,37.123552097292446,1.1715007136979441e-301,1.2523928379787872e-297
AT3G26830,2970.746594957159,7.88023522280358,0.2234159365173307,35.248441368935346,3.624875394340121e-272,2.583448693546204e-268
AT3G26440,1317.783671734647,5.881099642583465,0.17276137586227508,34.033888713385934,7.027377278570056e-254,3.7563088398276594e-250
AT1G32960,1681.995061706626,9.107193494043742,0.27382250632673627,33.12638491756534,1.239493473393145e-240,5.300321990923767e-237
AT5G49680,345.18046254134003,5.5191958894722015,0.16672177917972217,33.08005397764377,5.753469855566837e-240,2.0502489830312423e-236
AT5G20960,2597.9010693320893,6.108055758899189,0.1903504082655017,32.085081880095665,7.119516474499713e-226,2.1746054534468336e-222
AT5G04930,4974.20187703851,4.242732301208383,0.1364226148144884,31.099618479310823,2.437289992274469e-212,6.513962165602553e-209
AT1G51890,1731.8941520931635,8.033439604575657,0.26034411702962,30.812091243692617,1.8048307956656712e-208,4.2876763602364125e-205
AT5G63680,1763.1938880258162,4.590662471762786,0.15129660072104145,30.34096493361384,3.3059992054240703e-202,7.068556901117204e-199
AT4G12120,938.1722371291552,4.93875638610112,0.1632162253850529,30.255897960111792,4.363834246802865e-201,8.482103639172006e-198
AT1G61140,934.296820051786,3.3454565873534214,0.11202781777112558,29.862112618803895,6.112238272279182e-196,1.0890480541633433e-192
AT2G24180,3224.231804989838,4.795315952026302,0.160766933985665,29.827069551251174,1.741462934737329e-195,2.864170692893756e-192
AT3G51330,1954.7198954722428,6.207111340059257,0.21053878029847145,29.476623447046162,5.740528851757694e-191,8.767017669959376e-188
AT4G20110,2229.5286153738557,6.002136028120098,0.2051434319342403,29.254286464517815,3.960525276793012e-188,5.645332729540759e-185
AT1G51860,1139.5054547701918,8.543385587880758,0.2914846905432905,29.15768164775891,6.676075439874746e-187,8.921323061247622e-184
AT5G51630,435.64666551632627,3.9425697129910375,0.13575544401697995,29.038415027837726,2.1551819599064862e-185,2.7105850285153285e-182
AT2G13790,2154.2661419784768,4.285472791397754,0.14789526253511004,28.975723758030338,1.3310075499144878e-184,1.581015134706759e-181
