gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT1G21240,2297.4247016781123,8.603297720537075,0.22270550958277538,38.63082568839364,0,0
AT4G25070,877.5075081195594,7.458651241149894,0.20091426654438815,37.123552097292446,1.1715007136979441e-301,1.2523928379787872e-297
AT3G26830,2970.746594957159,7.892320549021612,0.22390551872677014,35.248441368935346,3.624875394340121e-272,2.583448693546204e-268
AT3G26440,1317.783671734647,5.8863715806720105,0.17295618582536032,34.033888713385934,7.027377278570056e-254,3.7563088398276594e-250
AT1G32960,1681.995061706626,9.130322915535935,0.2756208665164233,33.12638491756534,1.239493473393145e-240,5.300321990923767e-237
AT5G49680,345.18046254134003,5.523968872202451,0.1669879038267492,33.08005397764377,5.753469855566837e-240,2.0502489830312423e-236
AT5G20960,2597.9010693320893,6.114465333723164,0.1905703515600607,32.085081880095665,7.119516474499713e-226,2.1746054534468336e-222
AT5G04930,4974.20187703851,4.244987530703561,0.13649645038338848,31.099618479310823,2.437289992274469e-212,6.513962165602553e-209
AT1G51890,1731.8941520931635,8.050815149729988,0.26128752787521453,30.812091243692617,1.8048307956656712e-208,4.2876763602364125e-205
AT5G63680,1763.1938880258162,4.593690467696417,0.15140225361149295,30.34096493361384,3.3059992054240703e-202,7.068556901117204e-199
AT4G12120,938.1722371291552,4.9425711218586565,0.16335893016213737,30.255897960111792,4.363834246802865e-201,8.482103639172006e-198
AT1G61140,934.296820051786,3.3466655184245013,0.1120706214307536,29.862112618803895,6.112238272279182e-196,1.0890480541633433e-192
AT2G24180,3224.231804989838,4.7988568279988515,0.16088931632231201,29.827069551251174,1.741462934737329e-195,2.864170692893756e-192
AT3G51330,1954.7198954722428,6.215179695418911,0.21085114129792676,29.476623447046162,5.740528851757694e-191,8.767017669959376e-188
AT4G20110,2229.5286153738557,6.009520327827879,0.20542358245916395,29.254286464517815,3.960525276793012e-188,5.645332729540759e-185
AT1G51860,1139.5054547701918,8.56927877390828,0.2938943801304218,29.15768164775891,6.676075439874746e-187,8.921323061247622e-184
AT5G51630,435.64666551632627,3.9447469493182843,0.13584580789057,29.038415027837726,2.1551819599064862e-185,2.7105850285153285e-182
AT2G13790,2154.2661419784768,4.288166218448121,0.14799168622180484,28.975723758030338,1.3310075499144878e-184,1.581015134706759e-181
AT5G35200,35049.64409197095,6.10702257851361,0.2107892387309264,28.972174363745662,1.475354638516018e-184,1.6602398697953148e-181
AT5G20730,1209.508599696388,3.0757775388138144,0.10688555569274741,28.77636289467799,4.239335528448802e-182,4.532061646688191e-179
AT4G23150,2946.653979669933,8.201479646718003,0.28611749506330036,28.66472616399607,1.0506212823604084e-180,1.0696825541975186e-177
AT5G15870,1319.9505479508157,5.485025109764499,0.19175871955552556,28.603784602223826,6.028637582767551e-180,5.859013643506955e-177
AT5G67340,1812.1590110823151,6.552060361532095,0.2302447607171082,28.456935745792403,3.9993673029597675e-178,3.717846621938382e-175
AT4G00700,2452.1124450467946,8.081485044893714,0.2853566040856822,28.32065187622971,1.9245447613771283e-176,1.7145288142918493e-173
AT5G38900,2893.1011795229706,8.24128362872215,0.2914611626684024,28.275752258966733,6.867846660029714e-176,5.873657177523813e-173
AT3G63380,1496.8740028145687,7.217397834238761,0.2557070494318422,28.225259531464474,2.864785532195957e-175,2.355845363995452e-172
AT1G26390,5332.406842553988,9.420396240118457,0.336258661851188,28.01532661867153,1.0571324911318049e-172,8.371314738107082e-170
AT2G04430,608.61318315737,4.809726104849132,0.17208214279110912,27.95017557799515,6.559981281523278e-172,5.009248563580329e-169
AT5G61010,2932.7354619274874,4.294947243235879,0.15425813887017295,27.842597315728028,1.3240680442406335e-170,9.762034087554823e-168
AT2G16900,1740.6919497579931,5.2547846350128875,0.18951216644623206,27.727954007131054,3.2143820120961636e-169,2.290890060020936e-166
AT4G14630,2560.184096743417,10.78507878842982,0.39227314495514326,27.49379845939518,2.082518938372413e-166,1.4363334652045344e-163
