gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT1G21240,2297.4247016781123,8.672497891437246,0.22914115224799672,37.847840976426205,1.85807061085e-313,3.972740773057e-309
AT4G25070,877.5075081195594,7.384478841235217,0.20420918562940255,36.16134513477038,2.4678572230220385e-286,2.63826276427171e-282
AT3G26830,2970.746594957159,7.7962699721943025,0.2343787048461989,33.263559406176746,1.2998446215884138e-242,9.263992618060625e-239
AT1G32960,1681.995061706626,8.733183848579841,0.2826699645115353,30.895337124590235,1.37976732039663e-209,7.375201269350087e-206
AT3G26440,1317.783671734647,5.492762208754957,0.18161401053809806,30.244154580809248,6.227506328533983e-201,2.6630062562077017e-197
AT1G51860,1139.5054547701918,8.970527894140732,0.2997145337066138,29.930239895946627,7.955466618483419e-197,2.834930529496566e-193
AT2G14610,37292.4452667898,9.128617276956149,0.30657632783760197,29.776001758986794,7.991143917228284e-195,2.4408378299179707e-191
AT1G51890,1731.8941520931635,8.022794376068546,0.27189162263956823,29.507324639802984,2.3188559499210402e-191,6.197432383157721e-188
AT5G58940,897.0902245372728,5.53540232834931,0.19481177900894875,28.41410491967757,1.353874456131628e-177,3.2163544162833704e-174
AT3G13950,2320.9973167400062,9.256917044376072,0.3410767099486192,27.14027892954216,3.297786785573294e-162,7.05099792623426e-159
AT4G00700,2452.1124450467946,8.111130390688523,0.29913677672041183,27.115122652637226,6.531315319241319e-162,1.2695095712790785e-158
AT5G38900,2893.1011795229706,8.250028922506715,0.3058970031088954,26.96995668038569,3.328255251032968e-160,5.930118793527991e-157
AT2G04430,608.61318315737,4.828818690736684,0.17998197639094599,26.829456968779002,1.4650477732235632e-158,2.409552803022539e-155
AT2G43570,14228.221791292792,9.362485852549968,0.3490612970074905,26.821896133472105,1.794979222715194e-158,2.7413179114909687e-155
AT5G61010,2932.7354619274874,4.351653788872635,0.1631880010830853,26.666505870471696,1.1518920040498544e-156,1.6419068625726626e-153
AT5G09290,563.7086211066769,7.802379186220688,0.2927556123441058,26.651510192227327,1.718989547355237e-156,2.2971072195001453e-153
AT4G23150,2946.653979669933,7.956317052925893,0.300592561188046,26.468775612675742,2.2186162566461423e-154,2.7903667166677158e-151
AT5G67340,1812.1590110823151,6.38094511148407,0.24234438698681393,26.330071807403815,8.681881034494466e-153,1.0312627688807009e-149
AT4G20110,2229.5286153738557,5.702785230271452,0.21682664512432856,26.30112746061016,1.8616025494718332e-152,2.0948907426451194e-149
AT5G04930,4974.20187703851,3.780719099377052,0.14466397916887896,26.134488496016598,1.479217894396729e-150,1.581357890004823e-147
AT3G51330,1954.7198954722428,5.758083612256619,0.22238771718367886,25.892093705430632,8.175324430584334e-148,8.323648173824935e-145
AT5G48400,1000.5453845038236,7.775080443468273,0.30127127800786724,25.80757281238485,7.291040589649534e-147,7.085897220331668e-144
AT3G26230,1025.9729392176464,4.936533367316694,0.1922555530095539,25.676935152408205,2.115822354441468e-145,1.9668868591440444e-142
AT1G74590,1733.9342878008738,6.638895519299462,0.25943291414350284,25.59002793156469,1.9698812184461296e-144,1.7549179304831957e-141
AT2G30140,2307.964100444267,5.5698990443146785,0.2194647708532833,25.379467614135983,4.250840153455857e-142,3.635488532841587e-139
AT5G20960,2597.9010693320893,5.10498968302623,0.20150808618867525,25.33391974278564,1.351568428411534e-141,1.1114570987641156e-138
AT1G19250,990.0085883248627,10.066076942536329,0.3986058174604155,25.253211322075007,1.0442149138471613e-140,8.269021878876354e-138
AT4G04500,1193.2351533566746,8.262695937135602,0.32758509681167847,25.223052017795688,2.23808610584716e-140,1.709018536754219e-137
AT2G29120,1246.931712166945,4.850654161757181,0.1936318345858788,25.050912584344896,1.7063274394038474e-138,1.258034033858402e-135
AT2G30750,871.6178911408293,6.9869958977460085,0.27942015641828516,25.005339583614884,5.3482279250511886e-138,3.8116820421839825e-135
AT4G03450,1203.9687322000452,6.840321138653732,0.27651757296413026,24.737383108526906,4.238424235820707e-135,2.923282212454275e-132
