id,x,y,control,logFC_x,pval_x,padj_x,logFC_y,pval_y,padj_y,isDE_x,isDE_y,isDE_all,color,size
AT1G01040,184.73660255431275,28.41428365625303,27.20851683922486,2.7633395199721007,6.9148774926837455e-9,1.7903487003035982e-8,0.06255802838370585,0.9128990574281866,0.9343558998023963,TRUE,FALSE,FALSE,green,sub
AT1G01230,3.8715008523936865,38.27481446431128,33.44250593884005,-3.1107180916660817,9.868634629695736e-4,0.0017262642315104683,0.19471242776142517,0.8443295146242857,0.8802337854478867,TRUE,FALSE,FALSE,green,sub
AT1G01360,0,14.113377507235413,15.24407392563551,-Inf,2.2714026397001752e-17,9.738291525853108e-17,-0.11118522541408506,0.842674795649151,0.879060782873463,TRUE,FALSE,FALSE,green,t4
AT1G01490,0.5774829307360252,121.59120849553656,66.05526856097975,-6.837751521114185,2.911206690737352e-11,8.718939663069802e-11,0.8802933798696735,0.38240787446700325,0.4714173641593056,TRUE,FALSE,FALSE,green,sub
AT1G01580,0,1.112943567633979,1.3429927741726586,-Inf,1.0992624777224019e-4,2.0882568668309796e-4,-0.27107110056831796,0.8309463700029311,0.8696688206487184,TRUE,FALSE,FALSE,green,t4
AT1G01600,4.661886505997039,0.8437346551435823,0.8264285618047893,2.4959518618922414,0.002151827552634425,0.0036537662724647904,0.029899243881636336,0.8385842026222088,0.8759046817911795,TRUE,FALSE,FALSE,green,sub
AT1G01630,0,35.322479106998756,55.28055324779808,-Inf,1.858786874816955e-22,1.070943739435767e-21,-0.646185452248552,0.2871662112503103,0.3715747254141179,TRUE,FALSE,FALSE,green,t4
AT1G01780,13.147533850726333,5.540094415050164,5.071073803243655,1.3744290349828598,0.02902860236759355,0.04308646631180269,0.12761929188138907,0.8047799507376696,0.848596938734631,TRUE,FALSE,FALSE,green,sub
AT1G01820,0,90.05227523684397,72.03614574525238,-Inf,8.487224443128602e-30,8.289874180837489e-29,0.32204173464471364,0.3100254652637397,0.39590601880212734,TRUE,FALSE,FALSE,green,t4
AT1G01910,20.667022986166803,42.307466077345104,42.98398080166582,-1.0564685103404565,0.003991162816294616,0.006583478797654311,-0.022886817900052564,0.9571983772770157,0.9687073132423042,TRUE,FALSE,FALSE,green,sub
AT1G01940,0,9.872163386830636,9.497711760164632,-Inf,4.937978892392468e-16,1.9664542130423425e-15,0.0557862982036186,0.9452978318785263,0.9603446233676125,TRUE,FALSE,FALSE,green,t4
